name,n_depots,n_required_edges,n_nodes,lb_opt_1,lb_opt_2,lb_opt,sol_1,sol2,sol,approx,ub_approx
20_400_17,20,400,820,34072.5,34072.5,34072.5,67377,64795,64795,1.90168,1.97561,
20_400_18,20,400,820,34347.2,34347.2,34347.2,67933,64804,64804,1.88673,1.97561,
20_400_19,20,400,820,33554.7,33554.7,33554.7,66336,64489,64489,1.92191,1.97561,
20_400_20,20,400,820,33426.8,33426.8,33426.8,66105,63369,63369,1.89576,1.97561,
20_400_21,20,400,820,34904.4,34904.4,34904.4,69024,66298,66298,1.89942,1.97561,
20_400_22,20,400,820,33870.6,33870.6,33870.6,66989,63956,63956,1.88825,1.97561,
20_400_23,20,400,820,33362.7,33362.7,33362.7,65955,64180,64180,1.9237,1.97561,
20_400_24,20,400,820,34062.9,34062.9,34062.9,67345,65296,65296,1.91692,1.97561,
20_400_25,20,400,820,34120.4,34120.4,34120.4,67475,64752,64752,1.89775,1.97561,
20_400_26,20,400,820,36233.7,36233.7,36233.7,71670,68131,68131,1.88032,1.97561,
20_400_27,20,400,820,33862.9,33862.9,33862.9,66971,64051,64051,1.89148,1.97561,
20_400_28,20,400,820,34249.3,34249.3,34249.3,67728,65073,65073,1.89998,1.97561,
20_400_29,20,400,820,34681,34681,34681,68576,66122,66122,1.90658,1.97561,
20_400_30,20,400,820,34615.4,34615.4,34615.4,68460,65448,65448,1.89072,1.97561,
20_400_31,20,400,820,34245.2,34245.2,34245.2,67717,65181,65181,1.90336,1.97561,
20_400_32,20,400,820,35773.3,35773.3,35773.3,70733,68318,68318,1.90975,1.97561,
20_400_33,20,400,820,36529.4,36529.4,36529.4,72246,69040,69040,1.88999,1.97561,
20_400_34,20,400,820,36183.4,36183.4,36183.4,71545,69058,69058,1.90855,1.97561,
20_400_35,20,400,820,33508.4,33508.4,33508.4,66263,63661,63661,1.89985,1.97561,
20_400_36,20,400,820,35306.6,35306.6,35306.6,69801,67796,67796,1.92021,1.97561,
20_400_37,20,400,820,34895.8,34895.8,34895.8,69012,66079,66079,1.89361,1.97561,
20_400_38,20,400,820,35854.4,35854.4,35854.4,70894,68446,68446,1.909,1.97561,
20_400_39,20,400,820,33492.7,33492.7,33492.7,66225,63908,63908,1.90812,1.97561,
20_400_40,20,400,820,33524.9,33524.9,33524.9,66270,64714,64714,1.93033,1.97561,
20_400_41,20,400,820,32985,32985,32985,65219,63022,63022,1.91063,1.97561,
20_400_42,20,400,820,33850.3,33850.3,33850.3,66950,63876,63876,1.88701,1.97561,
20_400_43,20,400,820,33968.5,33968.5,33968.5,67170,64646,64646,1.90312,1.97561,
20_400_44,20,400,820,34475.1,34475.1,34475.1,68170,65684,65684,1.90526,1.97561,
20_400_45,20,400,820,34262.3,34262.3,34262.3,67752,65164,65164,1.90192,1.97561,
20_400_46,20,400,820,35375.7,35375.7,35375.7,69936,67993,67993,1.92202,1.97561,
20_400_47,20,400,820,35029.7,35029.7,35029.7,69256,67162,67162,1.91729,1.97561,
20_400_48,20,400,820,34666.9,34666.9,34666.9,68556,65779,65779,1.89746,1.97561,
20_400_49,20,400,820,35969,35969,35969,71137,68007,68007,1.89071,1.97561,
20_400_50,20,400,820,34722.7,34722.7,34722.7,68669,65778,65778,1.89438,1.97561,
20_400_51,20,400,820,34830.7,34830.7,34830.7,68880,66086,66086,1.89735,1.97561,
20_400_52,20,400,820,34328.6,34328.6,34328.6,67889,65054,65054,1.89504,1.97561,
20_400_53,20,400,820,33590.9,33590.9,33590.9,66425,63864,63864,1.90123,1.97561,
20_400_54,20,400,820,34532.1,34532.1,34532.1,68282,65821,65821,1.90608,1.97561,
20_400_55,20,400,820,34828.5,34828.5,34828.5,68871,66267,66267,1.90267,1.97561,
20_400_56,20,400,820,33124.5,33124.5,33124.5,65490,63481,63481,1.91644,1.97561,
20_400_57,20,400,820,34681.1,34681.1,34681.1,68590,65569,65569,1.89063,1.97561,
20_400_58,20,400,820,33627.2,33627.2,33627.2,66490,64207,64207,1.90937,1.97561,
20_400_59,20,400,820,35533.6,35533.6,35533.6,70266,67579,67579,1.90184,1.97561,
20_400_60,20,400,820,34253.3,34253.3,34253.3,67716,65878,65878,1.92326,1.97561,
20_400_61,20,400,820,34460.1,34460.1,34460.1,68130,66066,66066,1.91718,1.97561,
20_400_62,20,400,820,34579.3,34579.3,34579.3,68393,65204,65204,1.88564,1.97561,
20_400_63,20,400,820,34059.6,34059.6,34059.6,67354,64671,64671,1.89876,1.97561,
20_400_64,20,400,820,34045,34045,34045,67325,64641,64641,1.8987,1.97561,
20_400_65,20,400,820,33209.2,33209.2,33209.2,65686,62504,62504,1.88213,1.97561,
20_400_66,20,400,820,34650.9,34650.9,34650.9,68505,66526,66526,1.91989,1.97561,
20_400_67,20,400,820,33947.9,33947.9,33947.9,67121,64938,64938,1.91287,1.97561,
20_400_68,20,400,820,35493.2,35493.2,35493.2,70186,67510,67510,1.90205,1.97561,
20_400_69,20,400,820,34522.4,34522.4,34522.4,68278,65194,65194,1.88846,1.97561,
20_400_70,20,400,820,34344.3,34344.3,34344.3,67916,65251,65251,1.89991,1.97561,
20_400_71,20,400,820,36454.1,36454.1,36454.1,72071,69943,69943,1.91866,1.97561,
20_400_72,20,400,820,35075.2,35075.2,35075.2,69357,66814,66814,1.90488,1.97561,
20_400_73,20,400,820,33450.5,33450.5,33450.5,66137,64007,64007,1.91349,1.97561,
20_400_74,20,400,820,35990.2,35990.2,35990.2,71174,68245,68245,1.89621,1.97561,
20_400_75,20,400,820,34044.5,34044.5,34044.5,67311,65168,65168,1.9142,1.97561,
20_400_76,20,400,820,34106.1,34106.1,34106.1,67445,64792,64792,1.89972,1.97561,
20_400_77,20,400,820,34378.2,34378.2,34378.2,67982,65351,65351,1.90095,1.97561,
20_400_78,20,400,820,34277,34277,34277,67784,65075,65075,1.8985,1.97561,
20_400_79,20,400,820,34930.1,34930.1,34930.1,69067,66657,66657,1.9083,1.97561,
20_400_80,20,400,820,35085.6,35085.6,35085.6,69384,66576,66576,1.89753,1.97561,
20_400_81,20,400,820,32390.2,32390.2,32390.2,64050,61609,61609,1.90209,1.97561,
20_400_82,20,400,820,36068.5,36068.5,36068.5,71303,69432,69432,1.925,1.97561,
20_400_83,20,400,820,35008.1,35008.1,35008.1,69235,66253,66253,1.89251,1.97561,
20_400_84,20,400,820,34337.4,34337.4,34337.4,67884,65970,65970,1.92123,1.97561,
20_400_85,20,400,820,35311,35311,35311,69828,67069,67069,1.89938,1.97561,
20_400_86,20,400,820,33265,33265,33265,65773,63547,63547,1.91032,1.97561,
20_400_87,20,400,820,34765.6,34765.6,34765.6,68746,66176,66176,1.90349,1.97561,
20_400_88,20,400,820,34767.3,34767.3,34767.3,68754,65989,65989,1.89802,1.97561,
20_400_89,20,400,820,33925.2,33925.2,33925.2,67078,64822,64822,1.91073,1.97561,
20_400_90,20,400,820,34486.7,34486.7,34486.7,68185,66020,66020,1.91436,1.97561,
20_400_91,20,400,820,34055.9,34055.9,34055.9,67335,65130,65130,1.91244,1.97561,
20_400_92,20,400,820,34192,34192,34192,67596,65716,65716,1.92197,1.97561,
